Date,price_diff,volume,high_low_gap,vol_diff_by_bm,ma_10,ma_20,ma_30,ma_40,ma_50,ma_60,ma_90,ma_120,ma_180,ma_255,vol_ma_10,vol_ma_20,vol_ma_30,vol_ma_40,vol_ma_50,vol_ma_60,vol_ma_90,vol_ma_120,vol_ma_180,vol_ma_255,vol_diff_10_by_500,vol_diff_20_by_500,vol_diff_30_by_500,vol_diff_40_by_500,vol_diff_50_by_500,vol_diff_60_by_500,vol_diff_90_by_500,vol_diff_120_by_500,vol_diff_180_by_500,vol_diff_255_by_500
2012-05-30,-0.0070066845152547685,12653250.0,500.0,30.343525179856115,-0.003813018648546329,-0.0026924435338941065,0.00168304017551959,0.001213744732309907,0.0017615375139689781,0.002240998293919357,0.002155688985167418,0.00154954379858759,,,0.015153856175659399,0.012629209800473154,0.01366139187652088,0.013206491547985907,0.012671916392263833,0.012534548463122179,0.013294503743806974,0.012716252697704013,,,1.1619836897789353,0.9887244442151535,0.9095921818506694,0.9026789247424176,0.8529403335953123,0.8428032142208648,0.8780809467726356,0.8713065648443796,0.9466728950036876,0.9680215111099892
2012-05-31,-0.011556649229455651,22106900.0,420.0,49.35677606608618,-0.0017163699283390343,-0.0035555460745039015,0.001440785755107162,0.0006472039491669523,0.001301204809250187,0.002008755533827911,0.0020897640285066268,0.0015395462067331555,,,0.011825057227179097,0.01261493117740177,0.013834288373448345,0.01325726988588833,0.01273033872017808,0.012660427827622833,0.01334811506612973,0.012726160056967653,,,1.0719997178432394,0.9977155049509329,0.9223232217800387,0.9146731186714971,0.8631634905545196,0.8518273551622673,0.8812566470588705,0.873848535271498,0.9437201937844093,0.9686616570218793
2012-06-01,0.022875864113251154,13554450.0,760.0,40.53364234449761,0.0013975095840856433,-0.0021907186418561597,0.0013705760787659097,0.000780749619831811,0.0016004787513719876,0.0021747585128111258,0.0020316537286928457,0.0017073160424173099,,,0.013838135161786946,0.013925004365741199,0.013715530052001493,0.013457137847616202,0.013060532172543892,0.012869436409576485,0.013244565570967195,0.012874009455424301,,,0.9661333565330152,1.0062265445480614,0.9154228940928373,0.910455975969338,0.864715141558203,0.8543200793876584,0.8757309075935433,0.8708459641127425,0.9421345534778192,0.9679099706074972
2012-06-04,-0.0020603917976034225,18068750.0,260.0,45.73209314097697,0.0025027651205618896,-0.0009582422776581278,0.0008651751088323205,0.0006347422068704534,0.0018111963899560201,0.0021013832261010577,0.0018726679227338493,0.0015966804946753103,,,0.012964197244585614,0.01267541138178029,0.013546660121001303,0.013455446166066224,0.012910944279288603,0.012881011295057844,0.013206372947121205,0.012848630158765605,,,0.9010055621170266,0.999310243245648,0.9239551047685806,0.9148177768280489,0.8699807299040833,0.8599154542088563,0.870902412571578,0.8669907888987388,0.9389344572173183,0.9684225037574066
2012-06-05,-0.004608009220516074,12848900.0,320.0,37.92473435655254,-0.0006485908050625433,-0.0013515142942901904,0.0009324719538670163,0.00045638033538355496,0.0014520790323777,0.0020669510995124708,0.0017446621706171505,0.0014792274626622248,,,0.009822821783891664,0.012659738625547645,0.01351313088807272,0.013476996104745965,0.012832989207117356,0.012896386114418637,0.013212805323592204,0.01284031994179981,,,0.8421787225842758,0.9828688888621137,0.9292544536456955,0.9146948637325104,0.8701450974025243,0.8531909666462502,0.8649179500540447,0.8665360083292637,0.9363598753172411,0.966563036973652
2012-06-07,0.024990820248721235,20928350.0,640.0,51.87989588497769,0.0009483606717572534,0.00020468697721591765,0.0018094752989356404,0.0010467803997970427,0.0019112654534373873,0.0019372765272811807,0.0020604551811014282,0.0015561300908678356,,,0.012502268305305438,0.01389382565019779,0.014198343972011262,0.014024429109056732,0.013257873278346134,0.012618541544750944,0.013425653688226477,0.012953717687391335,,,0.8259395117408512,1.0062938217729578,0.9513057421975813,0.9285238796515374,0.880549115578488,0.8550941993282692,0.8663469538397123,0.8699494758081254,0.9349080445871407,0.9682174737277705
2012-06-08,-0.007647825261074104,9956350.0,600.0,26.214718272775144,0.0006241601367221961,-0.00023024895326995143,0.0012944712782689827,0.0007419314330878058,0.0014619467111184647,0.0019520566256187996,0.0018996654434168647,0.0015998746967211745,,,0.012697053542777498,0.014001676461129264,0.014253572984912706,0.014078837767072352,0.013192054004494615,0.012606581594787208,0.013454595903481277,0.012913299273976137,,,0.7927569859529746,0.9994617946897981,0.9458478747201883,0.9308548506441532,0.8817610180021593,0.8538262830862678,0.8650972461773523,0.8689089574892468,0.9346546145979422,0.9657346709490953
2012-06-11,-0.00026101621133012287,9906200.0,180.0,25.918890633176346,0.0005939085715493065,-0.00023042786557527783,0.000694575950798093,0.0008161135807033704,0.0011025683500083617,0.001983432284249842,0.0018578166270203688,0.0016491884333211507,,,0.01269895625685471,0.014001676849694769,0.013912374208274587,0.014065192782086157,0.012983556363796975,0.012598555644791199,0.013455402844529942,0.012894630469532143,,,0.7644664760229277,0.9915499312980328,0.9395932938390544,0.9299419798610277,0.8778856609900408,0.8526888403741057,0.8619640505066608,0.864622236553671,0.9342339702897999,0.9653460576310396
2012-06-12,-0.0036953466966469506,8805200.0,300.0,20.895111532985286,0.0007575454265170478,-0.0002224331910842814,-0.00027583780338925244,0.0013613677829416916,0.0010876433020110632,0.0016947415702682396,0.0019836832134627414,0.0016460023055985189,,,0.012624439846950062,0.013999543709312575,0.013121303225488126,0.013426905002633611,0.0129887368299768,0.012525491989432057,0.013348272801533778,0.01289591405203113,,,0.7578348147632752,0.9794325368863636,0.9266248777028352,0.9085483135629198,0.8775357332250743,0.8449489579340987,0.8550083521855546,0.8617741653876463,0.9326532180648617,0.9646300319682153
2012-06-13,0.010202331016064825,9572600.0,360.0,17.145978864409816,0.002123309244615612,-0.00022141530747581405,-0.0005795812463767962,0.001993624443944997,0.00146118905047949,0.0018540198597090552,0.002401280843557717,0.0015832603472712167,,,0.012854705462939838,0.01400034072897006,0.012752453413307186,0.013226413409535953,0.012976677930193498,0.012572599546068354,0.013002695620381243,0.012835169239103226,,,0.7518012796004513,0.9653682781930716,0.9160351434411063,0.8743216398037891,0.8760875187155951,0.8417051045971479,0.8478039419726963,0.8613717162624683,0.9317979952122803,0.9654375342045719
