Date,영업이익(원),금융손익(비영업)(원),관계기업투자등관련손익(비영업)(원),종가(원),수정주가(원),PBR,us_10_treasury,Quarter,equity,세전이익,순이익,ROE,COE,gm,수정주가_1주후,수정주가_2주후,수정주가_1달후,수정주가_3달후,수정주가_6달후,수익률_1주후,수익률_2주후,수익률_1달후,수익률_3달후,수익률_6달후,kospi,kospi_1주후,kospi_2주후,kospi_1달후,kospi_3달후,kospi_6달후,kospi_수익률_1주후,kospi_수익률_2주후,kospi_수익률_1달후,kospi_수익률_3달후,kospi_수익률_6달후,상대수익률_1주후,상대수익률_2주후,상대수익률_1달후,상대수익률_3달후,상대수익률_6달후
2022-11-21,1612070000000,-276489000000,-81707000000,49750,49750,0.93,3.825000047683716,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.865000047683716,0.5202429282552518,49900,50400,48750,44600,49600,0.3015075376884422,1.306532663316583,-2.0100502512562812,-10.35175879396985,-0.3015075376884422,2419.5,2408.27002,2419.320068,2352.169922,2475.47998,2480.23999,-0.4641446579871903,-0.007436743128745938,-2.782809588758006,2.3137003513122574,2.510435627195703,0.7656521956756325,1.313969406445329,0.772759337501725,-12.665459145282107,-2.8119431648841453
2022-11-22,1612070000000,-276489000000,-81707000000,49750,49750,0.93,3.757999897003174,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.797999897003174,0.5112244666372557,49800,50400,48500,44400,49200,0.10050251256281408,1.306532663316583,-2.512562814070352,-10.753768844221105,-1.105527638190955,2405.27002,2433.389893,2393.159912,2333.290039,2451.209961,2494.659912,1.1690942291793125,-0.5034822659952272,-2.992594611061587,1.9099702161506213,3.7164181674704513,-1.0685917166164984,1.8100149293118102,0.4800317969912351,-12.663739060371725,-4.821945805661406
2022-11-23,1612070000000,-276489000000,-81707000000,50000,50000,0.94,3.7060000896453857,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.7460000896453858,0.5096468805875531,50000,50200,48600,44700,49800,0.0,0.4,-2.8000000000000003,-10.6,-0.4,2418.01001,2472.530029,2382.810059,2328.949951,2455.120117,2515.399902,2.254747448295305,-1.455740499601987,-3.6831964562462636,1.5347375257557339,4.02768771002731,-2.254747448295305,1.8557404996019868,0.8831964562462633,-12.134737525755734,-4.42768771002731
2022-11-24,1612070000000,-276489000000,-81707000000,50000,50000,0.94,3.7060000896453857,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.7460000896453858,0.5096468805875531,50500,50200,48750,45050,49900,1.0,0.4,-2.5,-9.9,-0.2,2441.330078,2479.840088,2371.080078,2356.72998,2458.959961,2537.790039,1.5774192251605874,-2.8775297790764367,-3.465328132495154,0.7221425385641795,3.951123277808566,-0.5774192251605874,3.2775297790764366,0.9653281324951539,-10.62214253856418,-4.151123277808566
2022-11-25,1612070000000,-276489000000,-81707000000,50000,50000,0.94,3.690999984741211,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.730999984741211,0.507606102026434,50300,50000,49000,45100,49550,0.6,0.0,-2.0,-9.8,-0.8999999999999999,2437.860107,2434.330078,2389.040039,2313.689941,2417.679932,2557.080078,-0.14480031031575566,-2.0025787312331613,-5.093408175615218,-0.8277823219656943,4.890353251102279,0.7448003103157557,2.0025787312331613,3.0934081756152176,-8.972217678034307,-5.790353251102278
2022-11-28,1612070000000,-276489000000,-81707000000,49900,49900,0.94,3.703000068664551,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.743000068664551,0.5092387248753294,50400,49900,49250,44900,49900,1.002004008016032,0.0,-1.3026052104208417,-10.02004008016032,0.0,2408.27002,2419.320068,2373.02002,2317.139893,2439.090088,2567.550049,0.4588375849980502,-1.4637062998442343,-3.7840493899434042,1.279759650871707,6.613877500331131,0.5431664230179818,1.4637062998442343,2.481444179522563,-11.299799731032028,-6.613877500331131
2022-11-29,1612070000000,-276489000000,-81707000000,49800,49800,0.94,3.747999906539917,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.787999906539917,0.5153609956845372,50400,49850,49300,45100,49900,1.2048192771084338,0.1004016064257028,-1.0040160642570282,-9.437751004016064,0.2008032128514056,2433.389893,2393.159912,2372.399902,2332.790039,2423.610107,2567.449951,-1.6532484628019268,-2.5063797287662983,-4.134144482534023,-0.4018996720637756,5.50918939811673,2.8580677399103607,2.606781335192001,3.1301284182769944,-9.035851331952289,-5.3083861852653245
2022-11-30,1612070000000,-276489000000,-81707000000,50000,50000,0.94,3.703000068664551,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.743000068664551,0.5092387248753294,50200,49800,48200,44950,49600,0.4,-0.4,-3.5999999999999996,-10.100000000000001,-0.8,2472.530029,2382.810059,2399.25,2280.449951,2402.639893,2554.689941,-3.6286705903542376,-2.963766997387598,-7.768564011240163,-2.8266648000334555,3.3229085607194486,4.0286705903542375,2.563766997387598,4.168564011240163,-7.273335199966546,-4.1229085607194484
2022-12-01,1612070000000,-276489000000,-81707000000,50500,50500,0.95,3.5290000438690186,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.5690000438690186,0.49073144996184587,50200,49300,47400,45150,49600,-0.594059405940594,-2.376237623762376,-6.138613861386139,-10.594059405940595,-1.782178217821782,2479.840088,2371.080078,2360.969971,2236.399902,2412.850098,2558.810059,-4.38576707128383,-4.793458964358831,-9.816769523890358,-2.7013834611419525,3.184478361412794,3.791707665343236,2.417221340596455,3.678155662504219,-7.892675944798642,-4.966656579234575
2022-12-02,1612070000000,-276489000000,-81707000000,50300,50300,0.95,3.50600004196167,2022Q4,10383400000000,1253874000000,1003099200000.0,6.909176173524606,3.54600004196167,0.48756898872721866,50000,48800,47250,45050,50000,-0.5964214711729622,-2.982107355864811,-6.063618290258449,-10.43737574552684,-0.5964214711729622,2434.330078,2389.040039,2360.02002,2225.669922,2427.850098,2585.52002,-1.8604723907124965,-3.0525875957237396,-8.571563810747932,-0.2661915102870478,6.210741237039424,1.2640509195395344,0.0704802398589286,2.507945520489483,-10.171184235239792,-6.8071627082123864
